Year,Total,Natural Gas,Imported,Renewable Energy,Coal & Lignite,Hydro Electricity,gas_share_total_%,gas_share_domestic_%,sales_GWh,gap_GWh,gap_%,EGAT_system_peak_MW,avg_monthly_load_factor_%
2010,164828.8,118438.15,7253.78,3407.16,29764.0,5346.75,71.86,75.16,149301.12,15527.68,9.42,24009.9,81.08
2011,164089.92,108261.32,10774.41,4055.98,31711.73,7934.92,65.98,70.61,148855.49,15234.43,9.28,23900.21,80.43
2012,179483.61,119368.45,10527.43,5181.22,34582.61,8431.22,66.51,70.65,161778.98,17704.63,9.86,26121.1,81.51
2013,181205.46,119217.9,12571.79,7205.83,35352.19,5412.08,65.79,70.7,164341.11,16864.35,9.31,26598.14,80.2
2014,186023.89,120314.16,12259.71,9045.51,37571.92,5163.57,64.68,69.24,168685.39,17338.51,9.32,26942.1,80.89
2015,192246.43,128525.0,14414.49,10041.49,34582.11,3760.73,66.85,72.27,174833.11,17413.31,9.06,27345.8,80.73
2016,199653.88,126149.59,19825.36,12537.2,37107.16,3543.08,63.18,70.15,182847.43,16806.45,8.42,29618.8,81.06
2017,201165.54,121044.16,24427.42,14944.02,35732.45,4687.19,60.17,68.49,185124.05,16041.49,7.97,28578.0,80.32
2018,204428.0,116265.18,26669.44,17922.74,35796.42,7597.01,56.87,65.41,187831.86,16596.14,8.12,28338.0,81.1
2019,212049.68,121840.62,25546.66,21402.42,35825.22,6309.96,57.46,65.33,192960.43,19089.25,9.0,30853.2,80.7
2020,205995.33,113859.15,29550.57,20501.03,36823.17,4539.85,55.27,64.53,187046.48,18948.85,9.2,28636.7,80.1
2021,209716.77,113112.86,33356.29,21926.63,36064.62,4539.99,53.94,64.14,190468.06,19248.72,9.18,30135.3,79.88
2022,215837.84,114636.8,35471.76,21876.09,35522.71,6598.82,53.11,63.56,197256.5,18581.35,8.61,32254.5,79.97
2023,219970.81,129402.01,32805.15,19854.75,30432.75,6588.21,58.83,69.14,203922.65,16048.16,7.3,34130.5,79.4
2024,235512.42,136372.87,35985.04,23203.87,33259.46,6414.79,57.9,68.35,214468.97,21043.46,8.94,36477.8,79.4
2025,227424.07,123334.39,39135.87,23622.82,33578.8,7618.97,54.23,65.5,208428.35,18995.73,8.35,34568.3,77.58
