Year,Agriculture Pumping,Direct Customer,Free of Charge,Government & Nonprofit,Interruptible Rate,Large General,Medium  General,Residential (< 150),Residential (> 150),Small  General,Specific  Business,Stand By Rate,Temporary
2015,0.22,1.04,1.57,0.1,1.11,40.16,16.54,4.95,18.66,11.31,3.43,0.1,0.8
2016,0.15,0.96,1.62,0.11,1.09,40.2,16.21,4.68,19.35,11.32,3.46,0.08,0.77
2017,0.16,0.81,1.69,0.11,1.04,40.55,16.13,4.59,19.38,11.32,3.42,0.04,0.75
2018,0.19,0.81,1.73,0.11,1.03,40.21,16.26,4.5,19.56,11.35,3.45,0.06,0.72
2019,0.24,0.74,1.77,0.11,0.8,38.65,16.26,4.36,21.14,11.58,3.52,0.09,0.73
2020,0.22,0.78,1.92,0.11,0.8,37.38,15.93,4.97,23.29,11.29,2.54,0.06,0.72
2021,0.21,0.65,1.99,0.11,0.86,38.42,15.53,4.43,24.08,10.88,2.11,0.08,0.66
2022,0.17,0.63,2.06,0.11,0.94,38.53,15.66,4.08,23.17,10.95,2.68,0.34,0.66
2023,0.24,0.59,2.17,0.11,0.77,36.75,15.84,4.04,24.27,11.17,3.17,0.19,0.7
2024,0.22,0.62,2.17,0.12,0.62,36.03,15.9,3.67,25.33,11.17,3.38,0.05,0.71
2025,0.2,0.71,2.33,0.12,0.55,36.48,16.12,3.62,24.62,11.15,3.33,0.07,0.71
