year,CHN,JPN,MYS,SGP,THA,VNM
2010,6.1,4.03,6.17,4.91,6.35,10.11
2011,5.73,4.22,9.36,2.54,6.96,9.55
2012,5.8,3.94,6.19,1.83,5.74,9.11
2013,5.77,4.3,3.84,2.3,6.15,9.54
2014,5.33,4.03,8.66,2.04,6.2,9.31
2015,5.1,3.83,6.9,1.76,6.73,7.99
2016,4.94,4.26,6.9,1.91,6.57,7.56
2017,4.76,3.76,6.9,1.26,6.62,7.21
2018,4.69,4.22,6.9,1.06,7.17,7.09
2019,4.44,4.25,6.9,1.03,7.03,6.54
2020,4.16,4.55,6.9,0.9,7.31,6.53
2021,3.79,4.7,6.9,1.11,7.92,6.49
2022,3.42,4.1,6.9,0.28,7.47,6.2
2023,3.43,4.93,6.9,0.23,7.16,6.58
2024,,4.93,,,,
