Year,Month,Fuel Type,Quantity,UNIT
1986,January,Hydro Electricity,218.9,GWh
1986,January,Fuel Oil,229.46,GWh
1986,January,Coal & Lignite,512.63,GWh
1986,January,Natural Gas,880.34,GWh
1986,January,Diesel,0.19,GWh
1986,January,Imported,57,GWh
1986,February,Hydro Electricity,391.76,GWh
1986,February,Fuel Oil,288.67,GWh
1986,February,Coal & Lignite,323.55,GWh
1986,February,Natural Gas,755.35,GWh
1986,February,Diesel,2.05,GWh
1986,February,Imported,52.14,GWh
1986,March,Hydro Electricity,629.74,GWh
1986,March,Fuel Oil,227.37,GWh
1986,March,Coal & Lignite,331.95,GWh
1986,March,Natural Gas,899.54,GWh
1986,March,Diesel,4.97,GWh
1986,March,Imported,41.86,GWh
1986,April,Hydro Electricity,633.91,GWh
1986,April,Fuel Oil,333.95,GWh
1986,April,Coal & Lignite,336.14,GWh
1986,April,Natural Gas,817.25,GWh
1986,April,Diesel,0.49,GWh
1986,April,Imported,33.79,GWh
1986,May,Hydro Electricity,498.05,GWh
1986,May,Fuel Oil,302.11,GWh
1986,May,Coal & Lignite,404.26,GWh
1986,May,Natural Gas,900.01,GWh
1986,May,Diesel,0.64,GWh
1986,May,Imported,47.28,GWh
1986,June,Hydro Electricity,615.11,GWh
1986,June,Fuel Oil,208.12,GWh
1986,June,Coal & Lignite,449.51,GWh
1986,June,Natural Gas,845.57,GWh
1986,June,Diesel,0.6,GWh
1986,June,Imported,65.32,GWh
1986,July,Hydro Electricity,525.44,GWh
1986,July,Fuel Oil,243.03,GWh
1986,July,Coal & Lignite,496.77,GWh
1986,July,Natural Gas,820.81,GWh
1986,July,Diesel,0.38,GWh
1986,July,Imported,92.74,GWh
1986,August,Hydro Electricity,542,GWh
1986,August,Fuel Oil,246.9,GWh
1986,August,Coal & Lignite,517.4,GWh
1986,August,Natural Gas,800.96,GWh
1986,August,Diesel,0.38,GWh
1986,August,Imported,91.24,GWh
1986,September,Hydro Electricity,478.09,GWh
1986,September,Fuel Oil,369.95,GWh
1986,September,Coal & Lignite,503.67,GWh
1986,September,Natural Gas,740.33,GWh
1986,September,Diesel,0.17,GWh
1986,September,Imported,96.78,GWh
1986,October,Hydro Electricity,362.4,GWh
1986,October,Fuel Oil,357.69,GWh
1986,October,Coal & Lignite,579.68,GWh
1986,October,Natural Gas,901.73,GWh
1986,October,Diesel,0.17,GWh
1986,October,Imported,75.31,GWh
1986,November,Hydro Electricity,407.21,GWh
1986,November,Fuel Oil,261.86,GWh
1986,November,Coal & Lignite,496.34,GWh
1986,November,Natural Gas,923.61,GWh
1986,November,Diesel,0.11,GWh
1986,November,Imported,61.92,GWh
1986,December,Hydro Electricity,229.09,GWh
1986,December,Fuel Oil,265.77,GWh
1986,December,Coal & Lignite,589.38,GWh
1986,December,Natural Gas,966.21,GWh
1986,December,Diesel,0.09,GWh
1986,December,Imported,43,GWh
1987,January,Hydro Electricity,265.68,GWh
1987,January,Fuel Oil,227.8,GWh
1987,January,Coal & Lignite,579.36,GWh
1987,January,Natural Gas,1013.43,GWh
1987,January,Diesel,0.21,GWh
1987,January,Imported,39.23,GWh
1987,February,Hydro Electricity,402.57,GWh
1987,February,Fuel Oil,182.33,GWh
1987,February,Coal & Lignite,457.4,GWh
1987,February,Natural Gas,1014.48,GWh
1987,February,Diesel,0.15,GWh
1987,February,Imported,33.13,GWh
1987,March,Hydro Electricity,541.6,GWh
1987,March,Fuel Oil,137.06,GWh
1987,March,Coal & Lignite,610.99,GWh
1987,March,Natural Gas,1150.4,GWh
1987,March,Diesel,0.57,GWh
1987,March,Imported,31.59,GWh
1987,April,Hydro Electricity,485.04,GWh
1987,April,Fuel Oil,197.22,GWh
1987,April,Coal & Lignite,598.14,GWh
