Year,Month,LOAD,Quantity,UNIT
1986,January,PEAK,3757,MW
1986,January,GENERATION,1898.530427,GWh
1986,January,LOAD FACTOR,67.92,%
1986,February,PEAK,3910.4,MW
1986,February,GENERATION,1813.520572,GWh
1986,February,LOAD FACTOR,69.01,%
1986,March,PEAK,4001.6,MW
1986,March,GENERATION,2135.432701,GWh
1986,March,LOAD FACTOR,71.72,%
1986,April,PEAK,4041.3,MW
1986,April,GENERATION,2155.530969,GWh
1986,April,LOAD FACTOR,74.08,%
1986,May,PEAK,4058.4,MW
1986,May,GENERATION,2152.363316,GWh
1986,May,LOAD FACTOR,71.28,%
1986,June,PEAK,4176.8,MW
1986,June,GENERATION,2184.228612,GWh
1986,June,LOAD FACTOR,72.63,%
1986,July,PEAK,4112.3,MW
1986,July,GENERATION,2179.177766,GWh
1986,July,LOAD FACTOR,71.22,%
1986,August,PEAK,4051.9,MW
1986,August,GENERATION,2198.877142,GWh
1986,August,LOAD FACTOR,72.94,%
1986,September,PEAK,4180.9,MW
1986,September,GENERATION,2188.988568,GWh
1986,September,LOAD FACTOR,72.71,%
1986,October,PEAK,4219.6,MW
1986,October,GENERATION,2276.975435,GWh
1986,October,LOAD FACTOR,72.52,%
1986,November,PEAK,4184.1,MW
1986,November,GENERATION,2152.066321,GWh
1986,November,LOAD FACTOR,71.43,%
1986,December,PEAK,4102.1,MW
1986,December,GENERATION,2093.55609,GWh
1986,December,LOAD FACTOR,68.59,%
1987,January,PEAK,4253.3,MW
1987,January,GENERATION,2125.713594,GWh
1987,January,LOAD FACTOR,67.17,%
1987,February,PEAK,4378,MW
1987,February,GENERATION,2090.058904,GWh
1987,February,LOAD FACTOR,71.04,%
1987,March,PEAK,4565.2,MW
1987,March,GENERATION,2472.213852,GWh
1987,March,LOAD FACTOR,72.78,%
1987,April,PEAK,4554,MW
1987,April,GENERATION,2449.611557,GWh
1987,April,LOAD FACTOR,74.7,%
1987,May,PEAK,4682.9,MW
1987,May,GENERATION,2528.836097,GWh
1987,May,LOAD FACTOR,72.58,%
1987,June,PEAK,4585.7,MW
1987,June,GENERATION,2466.386075,GWh
1987,June,LOAD FACTOR,74.7,%
1987,July,PEAK,4702.4,MW
1987,July,GENERATION,2546.218595,GWh
1987,July,LOAD FACTOR,72.77,%
1987,August,PEAK,4729.6,MW
1987,August,GENERATION,2544.433565,GWh
1987,August,LOAD FACTOR,72.3,%
1987,September,PEAK,4733.9,MW
1987,September,GENERATION,2448.216039,GWh
1987,September,LOAD FACTOR,71.82,%
1987,October,PEAK,4702.1,MW
1987,October,GENERATION,2556.323568,GWh
1987,October,LOAD FACTOR,73.07,%
1987,November,PEAK,4886.8,MW
1987,November,GENERATION,2471.374115,GWh
1987,November,LOAD FACTOR,70.23,%
1987,December,PEAK,4589.9,MW
1987,December,GENERATION,2289.681758,GWh
1987,December,LOAD FACTOR,67.05,%
1988,January,PEAK,5003.3,MW
1988,January,GENERATION,2473.71917,GWh
1988,January,LOAD FACTOR,66.45,%
