Year,Month,Tariff,Quantity,UNIT
2002,January,Residential (< 150),488.424223,GWh
2002,January,Residential (> 150),1035.660954,GWh
2002,January,Small  General,693.458475,GWh
2002,January,Medium  General,1415.308196,GWh
2002,January,Large General,2957.601319,GWh
2002,January,Specific  Business,235.740123,GWh
2002,January,Government & Nonprofit,246.117053,GWh
2002,January,Agriculture Pumping,19.36733,GWh
2002,January,Temporary,28.80745,GWh
2002,January,Stand By Rate,0.67215,GWh
2002,January,Interruptible Rate,0,GWh
2002,January,Free of Charge,77.511626,GWh
2002,January,Direct Customer,128.1361,GWh
2002,February,Residential (< 150),509.544568,GWh
2002,February,Residential (> 150),1087.921563,GWh
2002,February,Small  General,719.099588,GWh
2002,February,Medium  General,1405.784701,GWh
2002,February,Large General,2797.007014,GWh
2002,February,Specific  Business,237.757505,GWh
2002,February,Government & Nonprofit,259.673866,GWh
2002,February,Agriculture Pumping,25.541219,GWh
2002,February,Temporary,30.761647,GWh
2002,February,Stand By Rate,0.56836,GWh
2002,February,Interruptible Rate,76.362734,GWh
2002,February,Free of Charge,73.601203,GWh
2002,February,Direct Customer,135.438377,GWh
2002,March,Residential (< 150),596.52585,GWh
2002,March,Residential (> 150),1245.535352,GWh
2002,March,Small  General,816.166851,GWh
2002,March,Medium  General,1663.900237,GWh
2002,March,Large General,3199.417347,GWh
2002,March,Specific  Business,277.07637,GWh
2002,March,Government & Nonprofit,300.596615,GWh
2002,March,Agriculture Pumping,24.229577,GWh
2002,March,Temporary,30.616596,GWh
2002,March,Stand By Rate,0.477401,GWh
2002,March,Interruptible Rate,85.197681,GWh
2002,March,Free of Charge,76.068583,GWh
2002,March,Direct Customer,155.442558,GWh
2002,April,Residential (< 150),661.996358,GWh
2002,April,Residential (> 150),1386.724014,GWh
2002,April,Small  General,863.480627,GWh
2002,April,Medium  General,1573.977095,GWh
2002,April,Large General,3013.990902,GWh
2002,April,Specific  Business,290.302569,GWh
2002,April,Government & Nonprofit,286.972177,GWh
2002,April,Agriculture Pumping,23.081002,GWh
2002,April,Temporary,34.013617,GWh
2002,April,Stand By Rate,0.495873,GWh
2002,April,Interruptible Rate,86.437952,GWh
2002,April,Free of Charge,85.951362,GWh
2002,April,Direct Customer,153.654537,GWh
2002,May,Residential (< 150),652.222252,GWh
2002,May,Residential (> 150),1337.649917,GWh
2002,May,Small  General,883.57313,GWh
2002,May,Medium  General,1669.527057,GWh
2002,May,Large General,3229.906097,GWh
2002,May,Specific  Business,277.9524,GWh
2002,May,Government & Nonprofit,305.830666,GWh
2002,May,Agriculture Pumping,14.897882,GWh
2002,May,Temporary,34.06383,GWh
2002,May,Stand By Rate,1.062218,GWh
2002,May,Interruptible Rate,97.755807,GWh
2002,May,Free of Charge,77.305921,GWh
2002,May,Direct Customer,148.54727,GWh
2002,June,Residential (< 150),588.045744,GWh
2002,June,Residential (> 150),1330.563978,GWh
2002,June,Small  General,855.439391,GWh
2002,June,Medium  General,1643.717774,GWh
2002,June,Large General,3205.805025,GWh
2002,June,Specific  Business,264.298528,GWh
2002,June,Government & Nonprofit,331.824559,GWh
2002,June,Agriculture Pumping,13.931768,GWh
2002,June,Temporary,33.677999,GWh
2002,June,Stand By Rate,0.833832,GWh
2002,June,Interruptible Rate,96.385825,GWh
2002,June,Free of Charge,75.644181,GWh
2002,June,Direct Customer,163.654224,GWh
2002,July,Residential (< 150),587.175378,GWh
2002,July,Residential (> 150),1355.786412,GWh
2002,July,Small  General,852.014464,GWh
2002,July,Medium  General,1682.320069,GWh
2002,July,Large General,3302.144931,GWh
2002,July,Specific  Business,276.586999,GWh
2002,July,Government & Nonprofit,341.537835,GWh
2002,July,Agriculture Pumping,23.056514,GWh
2002,July,Temporary,32.581229,GWh
2002,July,Stand By Rate,0.870528,GWh
2002,July,Interruptible Rate,99.903891,GWh
2002,July,Free of Charge,78.192417,GWh
2002,July,Direct Customer,160.365817,GWh
2002,August,Residential (< 150),573.119913,GWh
2002,August,Residential (> 150),1308.853831,GWh
2002,August,Small  General,830.148604,GWh
2002,August,Medium  General,1639.224849,GWh
2002,August,Large General,3312.680827,GWh
2002,August,Specific  Business,275.154982,GWh
2002,August,Government & Nonprofit,323.306597,GWh
2002,August,Agriculture Pumping,17.182434,GWh
2002,August,Temporary,34.515311,GWh
2002,August,Stand By Rate,0.6825,GWh
2002,August,Interruptible Rate,91.713118,GWh
2002,August,Free of Charge,79.837121,GWh
2002,August,Direct Customer,164.041046,GWh
2002,September,Residential (< 150),543.055996,GWh
2002,September,Residential (> 150),1262.871952,GWh
2002,September,Small  General,811.13711,GWh
2002,September,Medium  General,1605.842138,GWh
2002,September,Large General,3263.961336,GWh
2002,September,Specific  Business,253.596991,GWh
2002,September,Government & Nonprofit,318.642682,GWh
2002,September,Agriculture Pumping,5.487429,GWh
2002,September,Temporary,33.715643,GWh
2002,September,Stand By Rate,1.034,GWh
2002,September,Interruptible Rate,86.654709,GWh
2002,September,Free of Charge,80.79806,GWh
2002,September,Direct Customer,161.031816,GWh
2002,October,Residential (< 150),566.412767,GWh
2002,October,Residential (> 150),1278.620121,GWh
2002,October,Small  General,816.336117,GWh
2002,October,Medium  General,1622.022301,GWh
2002,October,Large General,3322.942148,GWh
2002,October,Specific  Business,273.077753,GWh
2002,October,Government & Nonprofit,313.211507,GWh
2002,October,Agriculture Pumping,13.532049,GWh
2002,October,Temporary,34.393821,GWh
2002,October,Stand By Rate,0.73745,GWh
2002,October,Interruptible Rate,145.318704,GWh
2002,October,Free of Charge,83.212809,GWh
2002,October,Direct Customer,159.005549,GWh
2002,November,Residential (< 150),548.719807,GWh
2002,November,Residential (> 150),1235.717289,GWh
2002,November,Small  General,792.464497,GWh
2002,November,Medium  General,1564.505578,GWh
2002,November,Large General,3241.122534,GWh
2002,November,Specific  Business,253.371309,GWh
2002,November,Government & Nonprofit,308.918156,GWh
2002,November,Agriculture Pumping,2.669416,GWh
2002,November,Temporary,35.518615,GWh
2002,November,Stand By Rate,1.87664,GWh
2002,November,Interruptible Rate,149.440491,GWh
2002,November,Free of Charge,83.760401,GWh
2002,November,Direct Customer,150.850018,GWh
2002,December,Residential (< 150),545.585061,GWh
2002,December,Residential (> 150),1236.441118,GWh
2002,December,Small  General,817.444216,GWh
2002,December,Medium  General,1585.488192,GWh
2002,December,Large General,3107.605172,GWh
2002,December,Specific  Business,255.803693,GWh
2002,December,Government & Nonprofit,298.549872,GWh
2002,December,Agriculture Pumping,9.154013,GWh
2002,December,Temporary,33.955965,GWh
2002,December,Stand By Rate,0.69109,GWh
2002,December,Interruptible Rate,143.835011,GWh
2002,December,Free of Charge,87.40452,GWh
2002,December,Direct Customer,148.18468,GWh
2003,January,Residential (< 150),533.049931,GWh
2003,January,Residential (> 150),1154.410863,GWh
2003,January,Small  General,757.776958,GWh
2003,January,Medium  General,1498.879855,GWh
2003,January,Large General,3200.093018,GWh
2003,January,Specific  Business,252.604974,GWh
2003,January,Government & Nonprofit,261.131776,GWh
2003,January,Agriculture Pumping,19.636697,GWh
2003,January,Temporary,34.093793,GWh
2003,January,Stand By Rate,3.60596,GWh
2003,January,Interruptible Rate,143.886673,GWh
2003,January,Free of Charge,87.684362,GWh
2003,January,Direct Customer,168.117457,GWh
2003,February,Residential (< 150),503.194307,GWh
2003,February,Residential (> 150),1143.631608,GWh
2003,February,Small  General,758.889416,GWh
2003,February,Medium  General,1471.806191,GWh
2003,February,Large General,3085.429787,GWh
2003,February,Specific  Business,255.058476,GWh
2003,February,Government & Nonprofit,268.101641,GWh
2003,February,Agriculture Pumping,26.147801,GWh
2003,February,Temporary,33.083225,GWh
2003,February,Stand By Rate,1.31968,GWh
2003,February,Interruptible Rate,142.221455,GWh
2003,February,Free of Charge,83.875033,GWh
2003,February,Direct Customer,133.042975,GWh
2003,March,Residential (< 150),599.286412,GWh
2003,March,Residential (> 150),1361.970506,GWh
2003,March,Small  General,876.750098,GWh
2003,March,Medium  General,1729.986069,GWh
2003,March,Large General,3520.838853,GWh
2003,March,Specific  Business,286.378047,GWh
2003,March,Government & Nonprofit,303.719248,GWh
2003,March,Agriculture Pumping,25.139998,GWh
2003,March,Temporary,36.581873,GWh
2003,March,Stand By Rate,2.738169,GWh
2003,March,Interruptible Rate,168.873124,GWh
2003,March,Free of Charge,88.26729,GWh
2003,March,Direct Customer,153.077635,GWh
2003,April,Residential (< 150),659.947888,GWh
2003,April,Residential (> 150),1481.579358,GWh
2003,April,Small  General,903.016093,GWh
2003,April,Medium  General,1567.723371,GWh
2003,April,Large General,3243.300864,GWh
2003,April,Specific  Business,283.084558,GWh
2003,April,Government & Nonprofit,295.793441,GWh
2003,April,Agriculture Pumping,22.416649,GWh
2003,April,Temporary,34.88389,GWh
2003,April,Stand By Rate,2.284616,GWh
2003,April,Interruptible Rate,139.459642,GWh
2003,April,Free of Charge,88.265244,GWh
2003,April,Direct Customer,138.65085,GWh
2003,May,Residential (< 150),677.037024,GWh
2003,May,Residential (> 150),1511.320974,GWh
2003,May,Small  General,944.976583,GWh
2003,May,Medium  General,1746.589197,GWh
2003,May,Large General,3517.593952,GWh
2003,May,Specific  Business,276.568477,GWh
2003,May,Government & Nonprofit,312.09514,GWh
2003,May,Agriculture Pumping,19.556591,GWh
2003,May,Temporary,38.43992,GWh
2003,May,Stand By Rate,2.350784,GWh
2003,May,Interruptible Rate,152.273107,GWh
2003,May,Free of Charge,88.506464,GWh
2003,May,Direct Customer,149.34225,GWh
2003,June,Residential (< 150),613.141369,GWh
2003,June,Residential (> 150),1433.08585,GWh
2003,June,Small  General,911.957596,GWh
2003,June,Medium  General,1710.294628,GWh
2003,June,Large General,3453.579885,GWh
2003,June,Specific  Business,262.478128,GWh
2003,June,Government & Nonprofit,334.414138,GWh
2003,June,Agriculture Pumping,15.619719,GWh
2003,June,Temporary,36.365326,GWh
2003,June,Stand By Rate,0.457123,GWh
2003,June,Interruptible Rate,137.480987,GWh
2003,June,Free of Charge,90.09514,GWh
2003,June,Direct Customer,146.624973,GWh
2003,July,Residential (< 150),591.396611,GWh
2003,July,Residential (> 150),1391.058087,GWh
2003,July,Small  General,902.172487,GWh
2003,July,Medium  General,1704.979957,GWh
2003,July,Large General,3467.375522,GWh
2003,July,Specific  Business,269.693042,GWh
2003,July,Government & Nonprofit,350.393658,GWh
2003,July,Agriculture Pumping,18.464063,GWh
2003,July,Temporary,33.908803,GWh
2003,July,Stand By Rate,0.862002,GWh
2003,July,Interruptible Rate,128.266389,GWh
2003,July,Free of Charge,90.385741,GWh
2003,July,Direct Customer,139.892329,GWh
2003,August,Residential (< 150),599.052006,GWh
2003,August,Residential (> 150),1453.164121,GWh
2003,August,Small  General,871.598621,GWh
2003,August,Medium  General,1748.698865,GWh
2003,August,Large General,3618.020897,GWh
2003,August,Specific  Business,282.331792,GWh
2003,August,Government & Nonprofit,344.037976,GWh
2003,August,Agriculture Pumping,20.433754,GWh
2003,August,Temporary,36.773874,GWh
2003,August,Stand By Rate,1.598843,GWh
2003,August,Interruptible Rate,129.196218,GWh
2003,August,Free of Charge,88.253298,GWh
2003,August,Direct Customer,150.468616,GWh
2003,September,Residential (< 150),567.479719,GWh
2003,September,Residential (> 150),1349.155854,GWh
2003,September,Small  General,853.473565,GWh
2003,September,Medium  General,1716.208263,GWh
2003,September,Large General,3444.349752,GWh
2003,September,Specific  Business,258.515924,GWh
2003,September,Government & Nonprofit,329.68383,GWh
2003,September,Agriculture Pumping,9.606603,GWh
2003,September,Temporary,36.197156,GWh
2003,September,Stand By Rate,1.931424,GWh
2003,September,Interruptible Rate,140.207545,GWh
2003,September,Free of Charge,88.41882,GWh
2003,September,Direct Customer,145.311864,GWh
2003,October,Residential (< 150),603.121122,GWh
2003,October,Residential (> 150),1407.944336,GWh
2003,October,Small  General,896.053965,GWh
2003,October,Medium  General,1748.284373,GWh
2003,October,Large General,3629.865812,GWh
2003,October,Specific  Business,273.245358,GWh
2003,October,Government & Nonprofit,325.605981,GWh
2003,October,Agriculture Pumping,14.072119,GWh
2003,October,Temporary,37.802247,GWh
2003,October,Stand By Rate,1.556177,GWh
2003,October,Interruptible Rate,135.986442,GWh
2003,October,Free of Charge,95.623439,GWh
2003,October,Direct Customer,151.073694,GWh
2003,November,Residential (< 150),558.712305,GWh
2003,November,Residential (> 150),1380.309822,GWh
2003,November,Small  General,866.166109,GWh
2003,November,Medium  General,1747.740041,GWh
2003,November,Large General,3559.045973,GWh
2003,November,Specific  Business,276.90657,GWh
2003,November,Government & Nonprofit,334.804228,GWh
2003,November,Agriculture Pumping,17.781716,GWh
2003,November,Temporary,36.414448,GWh
2003,November,Stand By Rate,2.538233,GWh
2003,November,Interruptible Rate,123.518135,GWh
2003,November,Free of Charge,95.443449,GWh
2003,November,Direct Customer,151.206236,GWh
2003,December,Residential (< 150),533.617451,GWh
2003,December,Residential (> 150),1222.878444,GWh
2003,December,Small  General,799.762059,GWh
2003,December,Medium  General,1615.993185,GWh
2003,December,Large General,3401.611306,GWh
2003,December,Specific  Business,250.893063,GWh
2003,December,Government & Nonprofit,241.322959,GWh
2003,December,Agriculture Pumping,19.003434,GWh
2003,December,Temporary,38.634746,GWh
2003,December,Stand By Rate,1.167437,GWh
2003,December,Interruptible Rate,137.5371,GWh
2003,December,Free of Charge,99.055659,GWh
2003,December,Direct Customer,164.801168,GWh
2004,January,Residential (< 150),547.190106,GWh
2004,January,Residential (> 150),1207.822933,GWh
2004,January,Small  General,794.73033646,GWh
2004,January,Medium  General,1562.179978,GWh
2004,January,Large General,3446.680219,GWh
2004,January,Specific  Business,271.667465,GWh
2004,January,Government & Nonprofit,273.677472,GWh
2004,January,Agriculture Pumping,27.698104,GWh
2004,January,Temporary,34.728061,GWh
2004,January,Stand By Rate,3.10448,GWh
2004,January,Interruptible Rate,157.576253,GWh
2004,January,Free of Charge,98.967957,GWh
2004,January,Direct Customer,143.530598,GWh
2004,February,Residential (< 150),523.790884,GWh
2004,February,Residential (> 150),1190.914675,GWh
2004,February,Small  General,790.586456,GWh
2004,February,Medium  General,1537.362753,GWh
2004,February,Large General,3633.863459,GWh
2004,February,Specific  Business,256.780186,GWh
2004,February,Government & Nonprofit,280.41625,GWh
2004,February,Agriculture Pumping,25.495165,GWh
2004,February,Temporary,38.280023,GWh
2004,February,Stand By Rate,0.121565,GWh
2004,February,Interruptible Rate,143.072429,GWh
2004,February,Free of Charge,98.16387,GWh
2004,February,Direct Customer,155.30722534,GWh
2004,March,Residential (< 150),641.263768,GWh
2004,March,Residential (> 150),1453.126804,GWh
2004,March,Small  General,930.870654,GWh
2004,March,Medium  General,1745.18886084,GWh
2004,March,Large General,3964.52415,GWh
2004,March,Specific  Business,298.185644,GWh
2004,March,Government & Nonprofit,314.914573,GWh
2004,March,Agriculture Pumping,33.288955,GWh
2004,March,Temporary,41.189165,GWh
2004,March,Stand By Rate,0.967416,GWh
2004,March,Interruptible Rate,150.322505,GWh
2004,March,Free of Charge,99.630698,GWh
2004,March,Direct Customer,159.101138,GWh
2004,April,Residential (< 150),714.534384,GWh
2004,April,Residential (> 150),1639.97337,GWh
2004,April,Small  General,983.541366,GWh
2004,April,Medium  General,1639.838183,GWh
2004,April,Large General,3659.73331,GWh
2004,April,Specific  Business,317.786827,GWh
2004,April,Government & Nonprofit,320.117339,GWh
2004,April,Agriculture Pumping,29.415242,GWh
2004,April,Temporary,40.777789,GWh
2004,April,Stand By Rate,6.987015,GWh
2004,April,Interruptible Rate,140.968925,GWh
2004,April,Free of Charge,98.54825,GWh
2004,April,Direct Customer,138.46583,GWh
2004,May,Residential (< 150),703.079885,GWh
2004,May,Residential (> 150),1594.646613,GWh
2004,May,Small  General,990.489011,GWh
2004,May,Medium  General,1819.069548,GWh
2004,May,Large General,3975.556576,GWh
2004,May,Specific  Business,305.63912,GWh
2004,May,Government & Nonprofit,326.183651,GWh
2004,May,Agriculture Pumping,16.238015,GWh
2004,May,Temporary,42.871768,GWh
2004,May,Stand By Rate,2.026649,GWh
2004,May,Interruptible Rate,141.11256,GWh
2004,May,Free of Charge,98.757508,GWh
2004,May,Direct Customer,154.891047,GWh
2004,June,Residential (< 150),617.655089,GWh
2004,June,Residential (> 150),1471.072958,GWh
2004,June,Small  General,934.301518,GWh
2004,June,Medium  General,1680.575203,GWh
2004,June,Large General,3873.24145,GWh
2004,June,Specific  Business,274.254984,GWh
2004,June,Government & Nonprofit,346.461176,GWh
2004,June,Agriculture Pumping,10.102518,GWh
2004,June,Temporary,40.880217,GWh
2004,June,Stand By Rate,1.704784,GWh
2004,June,Interruptible Rate,144.799935,GWh
2004,June,Free of Charge,97.605021,GWh
2004,June,Direct Customer,164.084975,GWh
2004,July,Residential (< 150),606.080972,GWh
2004,July,Residential (> 150),1525.010058,GWh
2004,July,Small  General,949.259557,GWh
2004,July,Medium  General,1783.920791,GWh
2004,July,Large General,3997.505079,GWh
2004,July,Specific  Business,300.970679,GWh
2004,July,Government & Nonprofit,340.566135,GWh
2004,July,Agriculture Pumping,20.921656,GWh
2004,July,Temporary,42.975975,GWh
2004,July,Stand By Rate,4.923708,GWh
2004,July,Interruptible Rate,156.549451,GWh
2004,July,Free of Charge,99.005148,GWh
2004,July,Direct Customer,173.39355,GWh
2004,August,Residential (< 150),598.856976,GWh
2004,August,Residential (> 150),1496.097627,GWh
2004,August,Small  General,931.747097,GWh
2004,August,Medium  General,1724.30204,GWh
2004,August,Large General,3990.149374,GWh
2004,August,Specific  Business,300.438598,GWh
2004,August,Government & Nonprofit,339.519901,GWh
2004,August,Agriculture Pumping,7.716441,GWh
2004,August,Temporary,41.083686,GWh
2004,August,Stand By Rate,3.286998,GWh
2004,August,Interruptible Rate,132.119565,GWh
2004,August,Free of Charge,99.247854,GWh
2004,August,Direct Customer,158.853104,GWh
2004,September,Residential (< 150),609.152888,GWh
2004,September,Residential (> 150),1475.789099,GWh
2004,September,Small  General,941.584914,GWh
2004,September,Medium  General,1670.460823,GWh
2004,September,Large General,4032.739593,GWh
2004,September,Specific  Business,280.455676,GWh
2004,September,Government & Nonprofit,347.969974,GWh
2004,September,Agriculture Pumping,10.976238,GWh
2004,September,Temporary,44.808542,GWh
