Year,Month,Sector,Quantity,UNIT
2002,January,Residential,1524.085177,GWh
2002,January,Business,1397.4797403358712,GWh
2002,January,Industrial,3977.3303279173933,GWh
2002,January,Government & Non-Profit,246.117053,GWh
2002,January,Agriculture,19.36733,GWh
2002,January,Other,84.91364341937508,GWh
2002,January,Free of Charge,77.511626,GWh
2002,February,Residential,1597.466131,GWh
2002,February,Business,1421.4611318692785,GWh
2002,February,Industrial,3890.335907693294,GWh
2002,February,Government & Non-Profit,259.673866,GWh
2002,February,Agriculture,25.541219,GWh
2002,February,Other,90.98281855586464,GWh
2002,February,Free of Charge,73.601203,GWh
2002,March,Residential,1842.061202,GWh
2002,March,Business,1625.5885119124716,GWh
2002,March,Industrial,4510.566616910977,GWh
2002,March,Government & Non-Profit,300.596615,GWh
2002,March,Agriculture,24.229577,GWh
2002,March,Other,92.13985538170697,GWh
2002,March,Free of Charge,76.068583,GWh
2002,April,Residential,2048.720372,GWh
2002,April,Business,1660.1397890778198,GWh
2002,April,Industrial,4233.868311648727,GWh
2002,April,Government & Non-Profit,286.972177,GWh
2002,April,Agriculture,23.081002,GWh
2002,April,Other,122.34498278763962,GWh
2002,April,Free of Charge,85.951362,GWh
2002,May,Residential,1989.872169,GWh
2002,May,Business,1663.676852442687,GWh
2002,May,Industrial,4589.1699093218285,GWh
2002,May,Government & Non-Profit,305.830666,GWh
2002,May,Agriculture,14.897882,GWh
2002,May,Other,89.54098940542221,GWh
2002,May,Free of Charge,77.305921,GWh
2002,June,Residential,1918.609722,GWh
2002,June,Business,1652.2987257958528,GWh
2002,June,Industrial,4518.909422701831,GWh
2002,June,Government & Non-Profit,331.824559,GWh
2002,June,Agriculture,13.931768,GWh
2002,June,Other,92.60439245269376,GWh
2002,June,Free of Charge,75.644181,GWh
2002,July,Residential,1942.96179,GWh
2002,July,Business,1689.6725853402268,GWh
2002,July,Industrial,4598.969420396984,GWh
2002,July,Government & Non-Profit,341.537835,GWh
2002,July,Agriculture,23.056514,GWh
2002,July,Other,118.14584188042465,GWh
2002,July,Free of Charge,78.192417,GWh
2002,August,Residential,1881.973744,GWh
2002,August,Business,1667.4151891927188,GWh
2002,August,Industrial,4646.02322014137,GWh
2002,August,Government & Non-Profit,323.306597,GWh
2002,August,Agriculture,17.182434,GWh
2002,August,Other,34.72276984536776,GWh
2002,August,Free of Charge,79.837121,GWh
2002,September,Residential,1805.927948,GWh
2002,September,Business,1616.9517347013468,GWh
2002,September,Industrial,4496.778693499679,GWh
2002,September,Government & Non-Profit,318.642682,GWh
2002,September,Agriculture,5.487429,GWh
2002,September,Other,103.24323657852077,GWh
2002,September,Free of Charge,80.79806,GWh
2002,October,Residential,1845.032888,GWh
2002,October,Business,1661.4810409175907,GWh
2002,October,Industrial,4616.356324535563,GWh
2002,October,Government & Non-Profit,313.211507,GWh
2002,October,Agriculture,13.532049,GWh
2002,October,Other,95.99638377570611,GWh
2002,October,Free of Charge,83.212809,GWh
2002,November,Residential,1784.437096,GWh
2002,November,Business,1595.4712359911189,GWh
2002,November,Industrial,4523.672872293381,GWh
2002,November,Government & Non-Profit,308.918156,GWh
2002,November,Agriculture,2.669416,GWh
2002,November,Other,70.00549674678365,GWh
2002,November,Free of Charge,83.760401,GWh
2002,December,Residential,1782.026179,GWh
2002,December,Business,1615.9142560757916,GWh
2002,December,Industrial,4362.777149800309,GWh
2002,December,Government & Non-Profit,298.549872,GWh
2002,December,Agriculture,9.154013,GWh
2002,December,Other,114.31655801852341,GWh
2002,December,Free of Charge,87.40452,GWh
2003,January,Residential,1687.460794,GWh
2003,January,Business,1560.0517664096724,GWh
2003,January,Industrial,4411.356261628938,GWh
2003,January,Government & Non-Profit,261.131776,GWh
2003,January,Agriculture,19.636697,GWh
2003,January,Other,87.65057103502356,GWh
2003,January,Free of Charge,87.684362,GWh
2003,February,Residential,1646.825915,GWh
2003,February,Business,1603.6397999688013,GWh
2003,February,Industrial,4233.8625293089635,GWh
2003,February,Government & Non-Profit,268.101641,GWh
2003,February,Agriculture,26.147801,GWh
2003,February,Other,43.348789468921694,GWh
2003,February,Free of Charge,83.875033,GWh
2003,March,Residential,1961.256918,GWh
2003,March,Business,1762.18628274312,GWh
2003,March,Industrial,4904.092656820979,GWh
2003,March,Government & Non-Profit,303.719248,GWh
2003,March,Agriculture,25.139998,GWh
2003,March,Other,108.94480588440094,GWh
2003,March,Free of Charge,88.26729,GWh
2003,April,Residential,2141.527246,GWh
2003,April,Business,1762.253560687858,GWh
2003,April,Industrial,4461.700112517178,GWh
2003,April,Government & Non-Profit,295.793441,GWh
2003,April,Agriculture,22.416649,GWh
2003,April,Other,88.45015365456065,GWh
2003,April,Free of Charge,88.265244,GWh
2003,May,Residential,2188.357998,GWh
2003,May,Business,1806.7633280490677,GWh
2003,May,Industrial,4904.858751896243,GWh
2003,May,Government & Non-Profit,312.09514,GWh
2003,May,Agriculture,19.556591,GWh
2003,May,Other,116.51212796309217,GWh
2003,May,Free of Charge,88.506464,GWh
2003,June,Residential,2046.227219,GWh
2003,June,Business,1762.2436986777602,GWh
2003,June,Industrial,4774.20879449314,GWh
2003,June,Government & Non-Profit,334.414138,GWh
2003,June,Agriculture,15.619719,GWh
2003,June,Other,122.78603131245711,GWh
2003,June,Free of Charge,90.09514,GWh
2003,July,Residential,1982.454698,GWh
2003,July,Business,1778.4710370719351,GWh
2003,July,Industrial,4759.962423352767,GWh
2003,July,Government & Non-Profit,350.393658,GWh
2003,July,Agriculture,18.464063,GWh
2003,July,Other,108.71700983001782,GWh
2003,July,Free of Charge,90.385741,GWh
2003,August,Residential,2052.216127,GWh
2003,August,Business,1806.7172715940897,GWh
2003,August,Industrial,4888.735203925539,GWh
2003,August,Government & Non-Profit,344.037976,GWh
2003,August,Agriculture,20.433754,GWh
2003,August,Other,143.23516491313697,GWh
2003,August,Free of Charge,88.253298,GWh
2003,September,Residential,1916.635573,GWh
2003,September,Business,1712.722835448905,GWh
2003,September,Industrial,4831.579235271636,GWh
2003,September,Government & Non-Profit,329.68383,GWh
2003,September,Agriculture,9.606603,GWh
2003,September,Other,51.893323618849465,GWh
2003,September,Free of Charge,88.41882,GWh
2003,October,Residential,2011.065458,GWh
2003,October,Business,1757.6577377665053,GWh
2003,October,Industrial,4997.3501436922115,GWh
2003,October,Government & Non-Profit,325.605981,GWh
2003,October,Agriculture,14.072119,GWh
2003,October,Other,118.86006105720011,GWh
2003,October,Free of Charge,95.623439,GWh
2003,November,Residential,1939.022127,GWh
2003,November,Business,1759.5799875458665,GWh
2003,November,Industrial,4894.515512677575,GWh
2003,November,Government & Non-Profit,334.804228,GWh
2003,November,Agriculture,17.781716,GWh
2003,November,Other,109.44016045728418,GWh
2003,November,Free of Charge,95.443449,GWh
2003,December,Residential,1756.495895,GWh
2003,December,Business,1611.6242420502986,GWh
2003,December,Industrial,4684.885911030938,GWh
2003,December,Government & Non-Profit,241.322959,GWh
2003,December,Agriculture,19.003434,GWh
2003,December,Other,113.88981548143732,GWh
2003,December,Free of Charge,99.055659,GWh
2004,January,Residential,1755.013039,GWh
2004,January,Business,1643.4599218294566,GWh
2004,January,Industrial,4659.663251404666,GWh
2004,January,Government & Non-Profit,273.677472,GWh
2004,January,Agriculture,27.698104,GWh
2004,January,Other,111.07413853161128,GWh
2004,January,Free of Charge,98.967957,GWh
2004,February,Residential,1714.705559,GWh
2004,February,Business,1630.440492077906,GWh
2004,February,Industrial,4815.626776778758,GWh
2004,February,Government & Non-Profit,280.41625,GWh
2004,February,Agriculture,25.495165,GWh
2004,February,Other,109.30670824708292,GWh
2004,February,Free of Charge,98.16387,GWh
2004,March,Residential,2094.390572,GWh
2004,March,Business,1888.5121815208133,GWh
2004,March,Industrial,5271.968225778489,GWh
2004,March,Government & Non-Profit,314.914573,GWh
2004,March,Agriculture,33.288955,GWh
2004,March,Other,129.86899272902468,GWh
2004,March,Free of Charge,99.630698,GWh
2004,April,Residential,2354.507754,GWh
2004,April,Business,1924.1528715393822,GWh
2004,April,Industrial,4857.234116758629,GWh
2004,April,Government & Non-Profit,320.117339,GWh
2004,April,Agriculture,29.415242,GWh
2004,April,Other,146.71213103973116,GWh
2004,April,Free of Charge,98.54825,GWh
2004,May,Residential,2297.726498,GWh
2004,May,Business,1944.4373290813326,GWh
2004,May,Industrial,5348.041613390502,GWh
2004,May,Government & Non-Profit,326.183651,GWh
2004,May,Agriculture,16.238015,GWh
2004,May,Other,139.17724429087883,GWh
2004,May,Free of Charge,98.757508,GWh
2004,June,Residential,2088.728047,GWh
2004,June,Business,1846.862871564139,GWh
2004,June,Industrial,5116.308021247956,GWh
2004,June,Government & Non-Profit,346.461176,GWh
2004,June,Agriculture,10.102518,GWh
2004,June,Other,150.67208454933404,GWh
2004,June,Free of Charge,97.605021,GWh
2004,July,Residential,2131.09103,GWh
2004,July,Business,1944.750144270915,GWh
2004,July,Industrial,5336.131694962622,GWh
2004,July,Government & Non-Profit,340.566135,GWh
2004,July,Agriculture,20.921656,GWh
2004,July,Other,128.61681615275478,GWh
2004,July,Free of Charge,99.005148,GWh
2004,August,Residential,2094.954603,GWh
2004,August,Business,1899.142093774422,GWh
2004,August,Industrial,5217.590996144219,GWh
2004,August,Government & Non-Profit,339.519901,GWh
2004,August,Agriculture,7.716441,GWh
2004,August,Other,165.24726289817477,GWh
2004,August,Free of Charge,99.247854,GWh
