hour,mean_2023,april_mean_2023,mean_2024,april_mean_2024
0,23506.0,26296.0,25026.0,29131.0
1,22567.0,25131.0,24024.0,27938.0
2,21850.0,24174.0,23223.0,26800.0
3,21103.0,23228.0,22406.0,25672.0
4,20669.0,22571.0,21908.0,24858.0
5,20772.0,22418.0,21974.0,24540.0
6,21613.0,22753.0,22755.0,24698.0
7,20887.0,21550.0,21908.0,23338.0
8,21242.0,22252.0,22224.0,24105.0
9,22552.0,23678.0,23506.0,25479.0
10,22855.0,24183.0,23736.0,25970.0
11,23048.0,24529.0,23924.0,26417.0
12,21996.0,23816.0,22974.0,25797.0
13,22668.0,24632.0,23696.0,26734.0
14,24434.0,26388.0,25485.0,28599.0
15,24836.0,26834.0,25996.0,29194.0
16,25019.0,26879.0,26343.0,29453.0
17,23971.0,25395.0,25443.0,28075.0
18,24657.0,25194.0,26213.0,27803.0
19,26614.0,27773.0,28216.0,30582.0
20,26542.0,28312.0,28230.0,31466.0
21,26347.0,28701.0,28074.0,32110.0
22,25344.0,28058.0,27037.0,31536.0
23,25052.0,27681.0,26664.0,31157.0
