hour,demand_mw,illustrative_minus_reviewer_AC_and_storage_mw
0,30406.0,30406.0
1,29032.0,29032.0
2,27762.0,27762.0
3,26579.0,26579.0
4,25675.0,25675.0
5,25545.0,25545.0
6,25556.0,25556.0
7,24913.0,24913.0
8,26752.0,26752.0
9,29084.0,29084.0
10,29795.0,29795.0
11,30388.0,30388.0
12,29546.0,29546.0
13,30542.0,30542.0
14,32772.0,32772.0
15,33434.0,33434.0
16,33797.0,33797.0
17,31621.0,31621.0
18,30898.0,28088.0
19,33532.0,30722.0
20,34606.0,31796.0
21,35560.0,32750.0
22,34892.0,32082.0
23,34751.0,32601.0
