datetime,north_generation,north_demand,south_generation,south_demand,metropolitan_generation,metropolitan_demand,central_generation,central_demand,northeast_generation,northeast_demand,malaysia_IMP,malaysia_EXP,EDL_IMP,EDL_EXP,hongsa_IMP,cambodia_EXP
01/01/2023 0:05,1991.4,1426.3,1310.6,1565.6,1241.6,3731.5,5074.9,4604.4,1391.4,1664.4,29.4,,0,422.6,939.2,
01/01/2023 1:00,1934.4,1379.6,1201.4,1549.6,1555.3,3641.9,4868.3,4592.6,921.3,1560.2,30.2,,0,407.6,939.4,
01/01/2023 2:00,1933.8,1240.5,1091.6,1473.7,1528.5,3488.1,4885.4,4381.3,927.1,1418.3,29.7,,0,392.3,938.4,
01/01/2023 3:00,1904.7,1188.7,1286.3,1418.1,1522.9,3315.7,4783.4,4273,632.8,1351.8,29.7,,0,383.8,935.6,
01/01/2023 4:00,1881.4,1126.9,1307.4,1390.3,1206.5,3205.8,4850.5,4264.5,603,1329.9,29.7,,0,380.5,938.4,
01/01/2023 5:00,1891.1,1237.1,1355.4,1418.3,1291.1,3201.6,4854.1,4339,813.6,1438,29.7,,0,392.6,940.4,
01/01/2023 6:00,2319.8,1421.6,1362,1484.1,1441.8,3275.1,5012.9,4588.9,823.6,1689.3,29.7,,0,433.1,941.9,
01/01/2023 7:00,1993.3,1396.9,1260.7,1393.4,1441.2,3252.3,5088.7,4281.3,822,1649.5,29.7,,0,490.2,938.8,
01/01/2023 8:00,2018,1222.3,1000.4,1370,1180.1,3302.2,4903.1,3887.4,785.9,1462.4,29.7,,2.8,440,939.3,
01/01/2023 9:00,2114.4,1199.9,960.1,1411.2,1187.8,3388,4973.8,3645.7,706,1354.7,30.1,,21.6,288.4,941.3,
01/01/2023 10:00,2333.4,1218.2,1011.2,1457.6,1202.3,3536.3,4603.7,3320.9,602.3,1236.7,30.1,,19,207.2,942.2,
01/01/2023 11:00,2366,1194.5,988.4,1477.7,1196.5,3545.5,4525.3,3110.3,442.7,1223.2,30.2,,19.4,185,941.3,
01/01/2023 12:00,2359.2,1149.8,921.9,1460.5,1191.6,3529.4,4587.7,3125.1,385,1188.1,30.2,,28.4,173.3,941.2,
01/01/2023 13:00,2275.1,1149.3,962.4,1459.3,1189.2,3568.5,4598,3056.5,383.4,1190.7,30.1,,38.3,164.4,936.4,
01/01/2023 14:00,2397.4,1216.5,1040.2,1479.5,1228.4,3639.7,4720.9,3369.8,546,1258.3,29.4,,33.2,171.1,938.8,
01/01/2023 15:00,2332.1,1246.9,1011.8,1508.5,1556,3752.7,4780.3,3623.7,735.6,1354.1,29.8,,49.9,166.7,944.5,
01/01/2023 16:00,2526,1346.9,1040,1527.7,1645.4,3879.2,5053.7,4006.2,717.9,1541.3,29.8,,41.9,220.8,943.5,
01/01/2023 17:00,3099,1569.2,1152.1,1557.2,1305,4069.4,5546.2,4426.6,721.4,1771,29.5,,41.7,194.9,937.6,
01/01/2023 18:00,3013.1,1932.7,1273.5,1638.1,1508.2,4404.5,6318.6,4975,994,2402.8,29.9,,15.4,298.6,941.4,
01/01/2023 19:00,3037.2,2159,1640,2017.1,1296.7,4728.7,6800.5,5286.1,1431.6,2580.8,29.3,,28.7,320.8,941,
01/01/2023 20:00,3011.5,2033.4,1594.4,1958.6,1298.5,4677.5,6749.4,5207.3,1623.9,2334.3,29.4,,39.6,263,940.7,
01/01/2023 21:00,3060.5,1849.2,1445.6,1904,1301.6,4534.2,6439.3,4983,1103.8,2051.5,29.4,,58.5,234.4,941.5,
01/01/2023 22:00,3054.7,1647.2,1397.6,1812.2,1206.8,4267.5,5635.5,4938.5,1025.7,1809.7,29.4,,37.1,211.1,943.6,
01/01/2023 23:00,2671.3,1442,1276,1708.1,1224.9,3998.2,5391.5,4603.8,982.5,1657.9,29.7,,12,347.2,943,
02/01/2023 0:00,2312.4,1271,1117.8,1584.1,1503.2,3736.9,4945.2,4424.2,993.1,1534.7,29.7,,15.7,305.1,941,
02/01/2023 1:00,2008.4,1170,1157.8,1498.8,1364.2,3517.3,4899.4,4263.2,975.9,1432.4,,28.8,15.2,306.3,938.8,
02/01/2023 2:00,1918,1126.2,1006.5,1434.5,1217.6,3369.1,4923.3,4121.6,1103,1361,,28.8,15.1,293.9,917.9,
02/01/2023 3:00,2042,1135.9,993.2,1387.1,1244.5,3241.1,4954.8,4058.4,647,1320.1,,28.8,16.1,285.9,931.3,
02/01/2023 4:00,2063.4,1152.9,998.5,1363.2,1249,3165.7,4790.2,4075.6,654.9,1298.8,,28.8,15.8,289.7,941.9,
02/01/2023 5:00,2002.7,1212,1003.6,1392.1,1319.8,3198,5124.6,4250.7,587.3,1389.9,,28.7,11.8,289.8,1049.7,
02/01/2023 6:00,2382.8,1446.6,1183.3,1474.2,1241.9,3329.7,5009.2,4317.9,863.4,1670.2,,28.7,2.3,330.3,1287.6,
02/01/2023 7:00,2091.7,1483.7,1154.2,1424.7,1233.5,3376.6,5092.7,4358.9,1143.9,1795.6,,28.6,0,402.9,1484.9,
02/01/2023 8:00,2005.4,1391.4,1107.9,1405.8,1240.1,3554.3,5013.2,4167.9,1071.8,1672.8,,28.6,0,400.8,1495.2,
02/01/2023 9:00,2042.6,1258.2,1071,1477.1,1217.9,3768.3,5025.7,3949,976.6,1618,,28.2,0,299.5,1471.7,
02/01/2023 10:00,2093,1149.9,912.1,1541,1329.9,3950.2,5154.4,3788.5,1008.8,1500.2,,28.2,0.9,242.8,1403.1,
02/01/2023 11:00,2199.3,1166.6,921.9,1562,1252.9,3972.9,5103.1,3636.4,1041.7,1451.7,,28.3,0,287.3,1405.9,
02/01/2023 12:00,2207.4,1206.5,922.7,1545.7,1247.5,3931.2,5059,3376.7,751.3,1383.2,,28.3,5.9,247,1344.3,
02/01/2023 13:00,2195.8,1200,914,1555.2,1246.6,3974.3,5047,3489,747.3,1386.9,,28.4,7.5,223.6,1404.8,
02/01/2023 14:00,2177.6,1260.6,965.8,1592.3,1235.6,4131.3,5095.9,3646.2,643,1423.6,,28.4,7.2,257.5,1508,
02/01/2023 15:00,2626,1382.4,935.9,1603.2,1241.1,4280.8,5002.5,3939.9,973.5,1537.9,,28.8,24.3,244.5,1508.3,
02/01/2023 16:00,2877.9,1430.8,971.8,1627.5,1238.2,4370.6,5311.1,4274.1,939,1701.3,,29.1,29.2,240.2,1507.1,
02/01/2023 17:00,2939.6,1698.3,1318.9,1651.5,1225.7,4493.1,5635.9,4584,1004.6,1938.8,,29.2,26.7,281.3,1504.8,
02/01/2023 18:00,2901.9,2025.2,1542.3,1775.3,1369,4869.6,6373.5,5077.8,1373.9,2576.9,,29.3,17.6,309.4,1506.7,
02/01/2023 19:00,2987.5,2241,1599.3,2118.1,1742.1,5220.6,6482.4,5555.2,1655.7,2665.1,,29.3,20.1,336,1510.5,
02/01/2023 20:00,2900.8,2109,1531.5,2072.3,1609.1,5221.9,6458,5369.7,1687.9,2456,,28.9,29.8,248.8,1506.2,
02/01/2023 21:00,2916,1908.3,1457.1,2008.9,1325.4,5119.5,6320.2,5270,1515.7,2123.1,,29.1,43.6,228,1507.3,
02/01/2023 22:00,3027,1699.4,1348.1,1882.2,1250.7,4848,5542.2,5115.5,1457.9,1848.1,,29,31.8,253.6,1504.2,
02/01/2023 23:00,2985.9,1560.6,1289.1,1856.1,1245.5,4552.8,5202.7,5013,1408.8,1732.5,,28.9,9.6,376.2,1506.4,
03/01/2023 0:00,2438.9,1392.9,1082.6,1740.8,1248.3,4250.1,4932.2,4831.5,1450.2,1625.4,,28.9,13.5,363.2,1506.7,
03/01/2023 1:00,1811.3,1258.6,1202.1,1650.8,1251.4,4017.8,4996.5,4691.6,1222.6,1532,,28.8,13.7,354.6,1506.4,
03/01/2023 2:00,1790.2,1183.6,1140.9,1587.2,1261.7,3835.1,5127.2,4760.4,958.8,1490.4,,28.8,12.8,331.1,1509.4,
03/01/2023 3:00,1790.5,1156,973.4,1533.1,1312,3703.1,5163.9,4675.5,973.4,1420.5,,28.8,7.4,336.6,1516.5,
03/01/2023 4:00,1790.5,1169.5,939.4,1528.9,1423.8,3661.3,5117.9,4602.9,1023,1381.4,,28.8,8.3,334.2,1503.9,
03/01/2023 5:00,1936.4,1311.1,912.7,1574.1,1562.6,3767.9,5013.8,4678.3,1411.1,1509.9,,28.8,3.5,365.6,1511.6,
03/01/2023 6:00,2593.8,1630.8,1010.6,1713.1,1560.6,4196.2,5538.3,5117.1,1462,1869.2,,28.8,0,438.6,1511,
03/01/2023 7:00,2846,1808,1120.1,1678.1,1560.6,4525.4,5943.9,5263.8,1412.6,2112.2,,28.7,0,547.4,1510.4,
03/01/2023 8:00,2498.1,1606.8,1320.8,1616,1500.7,5120,6192.4,5313.9,1329,1831.4,,28.7,0,410.2,1512.3,
03/01/2023 9:00,2652.7,1698.5,1584.5,1769.1,1823.9,5820.3,6245.5,5592.4,1344.1,1726.3,,28.3,0,380.1,1507,
03/01/2023 10:00,2557.8,1703.9,1820.2,1871.6,1665,6077.8,6198,5444.8,1469.2,1603.7,,28.3,4.6,281.9,1508.3,
03/01/2023 11:00,2572.9,1677.1,1711.5,1905.2,1559.1,6290,6342,5459.2,1473.5,1609.8,,28.2,2.2,236.5,1506.9,
03/01/2023 12:00,2526,1552.6,1818,1862.2,1545.1,6027.4,6210,5112.4,1407.8,1592.1,,28.8,4.5,283,866.6,
03/01/2023 13:00,2543.1,1493.8,1832.2,1867,1625.7,6175.8,6678.2,5355.7,1128.4,1565.6,,28.4,5.9,274.6,992.9,
03/01/2023 14:00,2516.2,1662.7,1831,1964.5,1535.2,6582,6993.7,6016.5,1030.9,1797.1,,28.4,0,328.2,992,
03/01/2023 15:00,2499.9,1783.8,1799.7,1975.2,1529.3,6533.1,7648.3,6351.4,1011.9,1897.8,,29.1,16.7,313.3,993.1,
03/01/2023 16:00,2424.3,1772,1841.9,1957,1544.9,6445.7,8490.4,6538.1,1085,2026.6,,62.6,21.9,253.3,994.4,
03/01/2023 17:00,2221.5,1794.1,1693.3,1867.7,1540.1,6088,8482,6457,1157.8,2116.7,,29.1,27,187.1,991.8,
03/01/2023 18:00,2615.4,2153.4,1468.7,1931.7,1833.1,6134.9,9203.3,6757.4,1274.1,2697.3,,29.1,17.4,244.9,997,
03/01/2023 19:00,2700,2257.3,1429.6,2276.1,1840.9,6283.1,10162.4,7117.6,1356,2773.3,,29.4,22.6,227.9,991.9,
03/01/2023 20:00,2687.1,2205,1753.8,2204.3,1844.6,6265.8,10271.2,6869.6,1342.7,2564.7,,29.4,28,159.8,995.5,
03/01/2023 21:00,2738.1,1958.1,1367.9,2126,1836.1,6133.2,9920.8,6807.1,1325.4,2257.6,,29.2,26,179.2,992.5,
03/01/2023 22:00,2706.5,1747.5,1656.8,2020,1519.2,5779.9,8826.3,6611.2,1344.1,1930.2,,29.1,33.4,180.7,992,
03/01/2023 23:00,2661.5,1635.6,1297.4,1977.7,1520.2,5491,8620.1,6540,1458.5,1783.4,,29,35.8,185.5,990.3,
04/01/2023 0:00,2347.3,1493.5,1804,1867,1519.5,5117.3,7556,6238.9,1430.6,1631.8,,29,25.1,159.5,993.9,
04/01/2023 1:00,1959.8,1339.3,1456.1,1760.5,1529.1,4843.8,7429.8,6139.2,1378.1,1579.3,,28,36.3,181.9,988.7,
04/01/2023 2:00,1795.1,1321.3,1188.5,1683.5,1529.5,4649.1,7437.3,6060,1443.6,1513.3,,28,32.9,152.7,989.8,
