datetime,north_generation,north_demand,south_generation,south_demand,metropolitan_generation,metropolitan_demand,central_generation,central_demand,northeast_generation,northeast_demand,hongsa_IMP,malaysia_EXP,malaysia_IMP,laos_IMP,laos_EXP,cambodia_EXP
01/01/2024 0:05,3257.6,1644.8,1605.9,1904.6,1963.1,4947.3,5475.6,5718.7,1279.5,2142.6,1000,29.2,,0,259.7,
01/01/2024 1:00,2617.6,1554.1,1716.7,1915.6,2193.2,4885,5803,5557.1,1066,2053.3,1008.8,29.1,,0,277.1,
01/01/2024 2:00,2423,1451.7,1744.4,1844.2,2168.3,4731.2,5923,5523.7,1014.6,1901.1,1004,29,,0,259.8,
01/01/2024 3:00,2380.8,1370,1537.2,1756.8,1634.6,4528.2,6336.5,5314.2,1009.1,1818.4,1002.2,29,,0,239,
01/01/2024 4:00,2211.6,1323.7,1412.4,1710.1,1789.9,4336.9,6602,5108.4,889.9,1713.8,1002.8,29,,0,239.9,
01/01/2024 5:00,2193,1384.5,1199.5,1718.8,2239.7,4243.8,6555.9,5141.6,864.8,1863.7,1003.1,28.9,,0,236.2,
01/01/2024 6:00,2422.5,1551.7,1218.4,1765.2,1942.5,4251.3,6802.9,5255.9,1111.1,2052.7,1004.1,28.9,,0,276.6,
01/01/2024 7:00,2195.9,1463.5,1009.1,1641.5,1630,4107.6,7197,5023,884.1,1911.3,1002.3,28.7,,0,333.1,
01/01/2024 8:00,2272.7,1318.9,975.3,1606.5,1634,4215.5,6523.3,4570.1,827.2,1714.4,1004.3,29,,0,377.3,
01/01/2024 9:00,2382.8,1273.6,953.4,1683.9,1643.3,4387.9,6326.1,4221,685.4,1655.1,1006.6,28.5,,0,341.2,
01/01/2024 10:00,2436.7,1305.6,1002.5,1767.6,1651.8,4607.9,6493.2,4147.6,594.3,1594.7,1007.1,28.5,,0,328.9,
01/01/2024 11:00,2450.1,1332.7,1021.5,1800.8,1651.7,4683.5,6478.2,4024.9,599.7,1601.2,1005.6,29,,0,329.3,
01/01/2024 12:00,2429.7,1310,1063.8,1816.9,1652.6,4736.9,6591.5,4086.7,589.7,1635.5,1007.6,28.3,,0,314.9,
01/01/2024 13:00,2417.5,1291.1,1164.2,1817.5,1681.5,4850.4,6894.9,4295.7,572.8,1713.6,999.5,28.9,,0,327.1,
01/01/2024 14:00,2788.9,1425.7,1153.3,1845.9,1717.5,4998.4,7007.5,4581.7,816.4,1893.5,1001.9,29.1,,0,355.4,
01/01/2024 15:00,2802.1,1516.1,1188.8,1873.5,1673,5144,7179.9,4828.5,806.4,1993.5,1005.1,29.1,,0,353.3,
