option_key,option_label,scenario,lng_usd_mmbtu,estimate,source,potential_mw,annualized_capex_thb_per_kw_year,fixed_om_thb_per_kw_year,variable_cost_thb_per_kw_year,annual_total_cost_thb_per_kw_year,thb_per_kwh,thb_per_kw_evening_peak_year,energy_metric_label
aircon_retrofit_controls,Aircon retrofit + controls,low,8.0,True,Screening value based on Thai commercial-building efficiency studies and ESCO ranges.,2500,1431.3243525679625,240.0,0.0,1671.3243525679625,0.759692887530892,1966.263944197603,thb_per_kwh_saved_or_supplied
building_ems,Building EMS optimization,low,8.0,True,Screening value; replace with project bids.,1500,883.1417284324942,195.0,0.0,1078.1417284324943,0.8984514403604119,1960.2576880590805,thb_per_kwh_saved_or_supplied
rooftop_solar_self_use,Rooftop solar self-use,low,8.0,True,IEEFA rooftop CAPEX ~USD936/kW converted at 35 THB/USD; evening peak effect small.,4000,2562.7072886340948,491.4,0.0,3054.107288634095,2.1062808887131688,38176.341107926186,thb_per_kwh_saved_or_supplied
bess_shift,Battery storage (4h) for peak shift,low,8.0,True,Indicative 2026 utility/commercial BESS screening cost.,3000,4324.436086123131,840.0,0.0,5164.436086123131,4.347168422662568,5738.262317914589,thb_per_kwh_shifted
tou_demand_response,TOU + automated demand response,low,8.0,True,Pilot-scale DR aggregator program benchmark.,2000,676.3509591221416,168.0,0.0,844.3509591221416,2.4124313117775475,1299.0014755725256,thb_per_kwh_saved_or_supplied
distribution_loss_reduction,Distribution loss reduction,low,8.0,True,Distribution reinforcement + anti-theft + smart metering blended estimate.,1200,2441.1675953518393,560.0,0.0,3001.1675953518393,3.3346306615020436,15005.837976759196,thb_per_kwh_saved_or_supplied
new_ccgt_lng,New CCGT on LNG,low,8.0,True,Generic modern CCGT overnight cost + utilization screening.,4000,2252.1162561914634,930.0,8584.8,11766.916256191464,2.801646727664634,11766.916256191464,thb_per_kwh_saved_or_supplied
new_ccgt_lng,New CCGT on LNG,base,14.0,True,Generic modern CCGT overnight cost + utilization screening.,4000,2252.1162561914634,930.0,14582.4,17764.516256191462,4.229646727664634,17764.516256191462,thb_per_kwh_saved_or_supplied
new_ccgt_lng,New CCGT on LNG,high,22.0,True,Generic modern CCGT overnight cost + utilization screening.,4000,2252.1162561914634,930.0,22579.2,25761.316256191465,6.133646727664635,25761.316256191465,thb_per_kwh_saved_or_supplied
smr,SMR,low,8.0,True,International first-of-a-kind SMR cost ranges; Thailand value not yet public.,300,12295.384145324966,7400.0,0.0,19695.384145324966,2.6979978281267076,20731.983310868385,thb_per_kwh_saved_or_supplied
imported_hydro,Imported hydro (PPA),low,8.0,True,Indicative cross-border hydro PPA equivalent capacity cost.,2000,1598.2760527810385,550.0,0.0,2148.2760527810387,0.499599082042102,3068.9657896871986,thb_per_kwh_saved_or_supplied
